t_DATE,t_PERIOD,t_STORECODE,t_ITEMCODE,t_NEW_CODES,t_CATEGORY,t_MANUFACTURE,t_BRAND,t_ITEMDESC,t_MRP,t_PACKSIZE,t_PACKTYPE,t_COMMENTS,t_IMAGE,t_CODE COMMENT,t_FLAG,rank,matched_itemcode,distance,m_catcode,m_company,m_mbrand,m_brand,m_sku,m_packtype,m_base_pack,m_flavor,m_color,m_wght,m_uom,m_mrp
2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,1,99764247,10.783013,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN RUHSH,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,2,99763224,18.932402,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
2022-10-17,202210,128421590,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,3,51967,45.231262,118,HYGEN PACKS-INDIA,HYGEN,HYGEN RUHSH,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2022-10-17,202210,124617403,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,1,99764247,10.783013,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN RUHSH,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
2022-10-17,202210,124617403,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,2,99763224,18.932402,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN,HYGEN MANIA,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,25.0
2022-10-17,202210,124617403,1665901622932,99764247.0,118,HYGEN PACKS NEPAL PVT LTD-NEPAL,HYGEN RUHSH,HYGEN RUHSH/MANGO/200ML/TPK,25.0,200ML ,TPK,,1665901622932-hygen packs nepal pvt ltd-nepal-hygen ruhsh.png,RECODING,5,3,51967,45.231262,118,HYGEN PACKS-INDIA,HYGEN,HYGEN RUHSH,MANGO TPK 200 ML,TPK,200.000 ML,MANGO,,200.0,ML,0.0
2022-10-17,202210,112773162,1665902019255,99764248.0,118,NESTLE INDIA LTD. - INDIA,MILO,MILO\SOFT DRINKS\NESTLE\180\TPK,70.0,TPK,180ML,New SKU,1665902019255-nestle india ltd- - india-milo.png,RECODING,5,1,99764248,77.85473,118,NESTLE INDIA LTD. - INDIA,NESTLE,NESTLE MILO,COCOA-MALT MILK TPK 180 ML,TPK,180.000 ML,COCOA-MALT MILK,,180.0,ML,70.0
2022-10-17,202210,112773162,1665902019255,99764248.0,118,NESTLE INDIA LTD. - INDIA,MILO,MILO\SOFT DRINKS\NESTLE\180\TPK,70.0,TPK,180ML,New SKU,1665902019255-nestle india ltd- - india-milo.png,RECODING,5,2,99763480,100.29871,118,NESTLE INDIA LTD. - INDIA,NESCAFE,NESCAFE INTENSE CAFE,CAPPUCCINO TPK 180 ML,TPK,180.000 ML,CAPPUCCINO,,180.0,ML,75.0
2022-10-17,202210,112773162,1665902019255,99764248.0,118,NESTLE INDIA LTD. - INDIA,MILO,MILO\SOFT DRINKS\NESTLE\180\TPK,70.0,TPK,180ML,New SKU,1665902019255-nestle india ltd- - india-milo.png,RECODING,5,3,99763479,107.84779,118,NESTLE INDIA LTD. - INDIA,NESCAFE,NESCAFE CHILLED LATTE,COFFEE & MILK TPK 180 ML,TPK,180.000 ML,COFFEE,,180.0,ML,75.0
2022-10-21,202210,233775810127,1666258676346,99764249.0,106,SHRI SHYAM CONFECTIONERY-INDIA ,PULPES,PULPES\3GM\PPH\TWIST ,0.8,PPH,3GM,,1666258676346-shri shyam confectionery-india -pulpes.png,RECODING,5,1,99764249,51.78807,106,SHRI SHYAM CONFECTIONERY-INDIA,PULPES,PULPES TWIST,PULPES TWIST-MANGO PPH 3 GM,PLPCH,3.000 GM,MANGO,,3.0,GM,1.0
